dynasty_id,dynasty_name_tr,dynasty_name_ar,dynasty_name_en,parent_tribe_or_clan,ethnic_origin,region_primary,regions_all,capital_city,date_start_hijri,date_end_hijri,date_start_ce,date_end_ce,sub_branch,allied_dynasties,rival_dynasties,predecessor,successor,end_cause,migration_conquest_notes,chapter,notes,ethnic_tags,government_type,religious_orientation,importance_level,capital_lat,capital_lon,duration_years_approx,century_start,century_end,geographic_zone,region_center_lat,region_center_lon,region_bbox_n,region_bbox_s,region_bbox_e,region_bbox_w,governance_detail,religious_detail,military_system,economic_base,cultural_tags,historical_period
45,Süleyhîler,al-Sulayhiyyūn,The Sulayhids,Hemdân kabilesi,Arap (Güney Arap),Yemen (San'a → Dhū Cibla),San'a; Dhū Cibla; Tihâme; Hicaz (geçici); Aden (geçici),San'a; Dhū Cibla (geç dönem),439,532,1047,1138,,Fâtımîler (nominal tâbiiyet),Necâhîler; Zeydî İmamlar,Zeydî İmamlar (San'a'da),Zürey'îler (Aden),al-Seyyide Ervâ'nın ölümü (532/1138); güç Zürey'îlere geçti,'Alī b. Muhammad Fâtımî dāʿīsi olarak İsmâilî daveti yürüttü; 455/1063'te San'a'yı Zeydî İmamlardan aldı; Hicaz'a seferi,Chapter 6: Arabian Peninsula,İsmâilî Şiî; Fâtımî vasalı; al-Seyyide Ervâ 'İkinci Belkıs' — 92 yaşına kadar hüküm sürdü; kadın hükümdar olarak dikkat çekici,Arap,Hanedan/Beylik,Şiî,Normal,15.35,44.21,91,11,12,Arap Yarımadası,14.5,44.0,16.0,13.0,46.0,42.0,Vasal Devlet,Şiî İsmâilî (Fâtımî),Kabile Ordusu,Tarım,Mimari,Selçuklu Çağı
46,Zürey'îler (Benü'l-Kerem),al-Zuray'iyyūn / Banū al-Karam,The Zuray'ids or Banū 'l-Karam,Cüşem / Benû Yâm,Arap (Güney Arap),Güney Yemen (Aden),Aden ve çevresi,Aden,473,571,1080,1175,al-Mes'ûd kolu; Zürey' kolu,Süleyhîler (başlangıçta); Fâtımîler (uzak tâbiiyet),İç çekişme,Süleyhîler (Aden'de),Eyyûbîler (571/1175 fethi),Eyyûbî Tûrân Şâh'ın Aden'i fethi (571/1175),Süleyhî Ahmad al-Mükerrem tarafından Aden'e ortak yöneticiler olarak atandılar,Chapter 6: Arabian Peninsula,İsmâilî; iki kol arasında iç savaş; Habeşli köle vezirler son dönemde güçlendi; Aden limanı zenginliği,Arap,Hanedan/Beylik,,Normal,12.79,45.03,95,11,12,Arap Yarımadası,13.0,45.0,13.5,12.5,45.5,44.5,Vasal Devlet,Sünnî Şâfiî,Karma Profesyonel,Deniz Ticareti,,Selçuklu Çağı
47,Yemen Hemdânîleri,Banū Hamdān (al-Yaman),The Hamdānids (of Yemen),Hemdân kabilesi,Arap (Güney Arap),Kuzey Yemen (San'a),San'a ve çevresi,San'a,492,570,1099,1174,1. Birinci Benû Hâtim kolu; 2. Benü'l-Kubeyb kolu; 3. İkinci Benû Hâtim kolu,Fâtımîler (1. ve 2. kol),Zeydî İmamlar; Mehdîler; Eyyûbîler,Süleyhîler (San'a'da),Eyyûbîler (570/1174 San'a fethi),Eyyûbî San'a fethi (570/1174),Hâtim b. al-Gaşîm güçlü kabile reisi olarak Süleyhîler zayıflayınca San'a'yı devraldı,Chapter 6: Arabian Peninsula,Üç kısa soy; toplam 75 yıl; Hâtim b. Ahmed en büyük lider; Eyyûbî seferine kadar ayakta kaldılar,Arap,Hanedan/Beylik,,Normal,15.35,44.21,75,11,12,Arap Yarımadası,15.5,44.0,16.5,14.5,45.0,43.0,Kabile Konfederasyonu,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Selçuklu Çağı
48,Mehdîler,al-Mahdiyyūn,The Mahdids,Ru'aynî/Himyerî (Tubba' soyundan iddia),Arap (Güney Arap),Yemen (Zebîd ve Tihâme),Zebîd; Tihâme; Ta'iz (geçici); Aden (geçici),Zebîd,554,569,1159,1173,,,Necâhîler; Eyyûbîler; Hemdânîler,Necâhîler,Eyyûbîler,Eyyûbî Tūrān Şâh'ın fethi; 'Abd al-Nabī idam edildi (571/1176),'Alī b. Mehdī çileci vaaz hareketi; Necâhîleri devirdi; Aden'e ve yayla bölgesine saldırdı,Chapter 6: Arabian Peninsula,Kısa ömürlü; radikal dini hareket; Ensâr ve Muhâcirûn geleneğini taklit; Eyyûbî müdahalesinin nedenlerinden biri,Arap,Hanedan/Beylik,,Düşük,14.2,43.32,14,12,12,Arap Yarımadası,14.0,43.5,15.0,13.0,44.0,42.5,Vasal Devlet,Sünnî Şâfiî,Gulâm/Memlûk Sistemi,Tarım,,Selçuklu Çağı
49,Resûlîler,al-Rasūliyyūn,The Rasūlids,"Oğuz Türk (Mencik boyu, Gassânî soy iddiası)",Türk (Oğuz),Güney Yemen ve Tihâme,Ta'iz; Zebîd; San'a (geçici); Hadramevt; Zufâr,Ta'iz,626,858,1228,1454,,Eyyûbîler (başlangıçta hizmet); Abbâsîler (bağlılık),Zeydî İmamlar,Eyyûbîler (Yemen kolu),Tâhirîler,İç çöküş; veraset kavgaları; Tâhirî Aden emiri teslim oldu (858/1454),Resûlî ailenin emirleri Eyyûbîlerle birlikte Yemen'e geldi; son Eyyûbî ayrılınca bağımsızlaştılar,Chapter 6: Arabian Peninsula,230 yıl hüküm; kültürel altın çağ; Aden'den Hindistan/Çin/Doğu Afrika ticareti; çok sayıda yazar-sultan; güçlü Sünnîlik; Eyyûbî gelenekleri sürdürüldü,Türk,Hanedan/Beylik,Sünnî,Yüksek,13.58,44.02,226,13,15,Arap Yarımadası,14.0,44.5,16.5,12.5,48.0,42.0,Merkezi İmparatorluk,Sünnî Şâfiî,Karma Profesyonel,Deniz Ticareti,Edebiyat;Mimari;Bilim/Rasathane,Moğol Sonrası
50,Tâhirîler,al-Tāhiriyyūn,The Tāhirids,Yerli Yemenli Sünnî aile,Arap (Güney Arap),Güney Yemen ve Tihâme,Aden; Zebîd; San'a (geçici); Ta'iz,al-Mikrâne (al-Miqrāna); Cubân (Juban),858,923,1454,1517,,,Zeydî İmamlar; Mısır Memlûkleri; Portekizliler,Resûlîler,Mısır Memlûk/Osmanlı fethi,Mısır Memlûkleri'nin Yemen'i fethi (921/1515 sonrası); son Tâhirî 945/1538'de Osmanlı valisi tarafından idam edildi,Resûlî devletinin son döneminde yükselen Aden emirleri; Resûlî topraklarını devraldılar,Chapter 6: Arabian Peninsula,Zebîd'de cami ve medrese inşaatı; Aden'i Portekizlilere karşı savundu (919/1513 Albuquerque kuşatması); 60 yıl hüküm,Arap,Hanedan/Beylik,,Normal,13.8,44.12,63,15,16,Arap Yarımadası,14.0,44.5,15.5,12.5,46.0,43.0,Vasal Devlet,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Timurlu
51,Âl-i Cülandâ,Āl al-Julandā,The Āl al-Julandā,Ezdî kabilesi,Arap (Ezdî),Umân,Umân (kıyı ve iç bölgeler),(değişen),1. yy,2. yy sonu,7. yy,9. yy başı,,,Abbâsîler; Hâricîler,Sâsânî etkisi altındaki yerel beyler,İbâdî İmamlar,Cülandâ ailesi İbâdî liderliği bıraktı; 177/793 kabile isyanı; 9. yy'da güç kaybı,Ezdî göçü ile Hicaz'dan Umân'a; İslam öncesinden beri bölgede etkin; al-Cülandā b. Mes'ûd İbâdî ilk imam (131/748),Chapter 6: Arabian Peninsula,İslam öncesi ve erken İslam Umân tarihinde önemli; İbâdî geleneğin başlangıcı; kesin kronoloji oluşturmak güç,Arap,Hanedan/Beylik,,Normal,23.61,58.54,,,,Arap Yarımadası,23.0,57.0,25.0,21.0,59.5,54.0,Teokratik Devlet,Hâricî İbâdî,Kabile Ordusu,Deniz Ticareti,,Emevî
52,Mükremîler,al-Mukramiyyūn,The Mukramids,Yerel Umânlı aile,Arap,Kıyı Umân,Suhâr; kıyı Umân,Suhâr (Suhar),c. 390,433,c. 1000,1042,,Büveyhîler (tâbiiyet),İbâdî İmamlar (iç bölge),,Büveyhî doğrudan yönetimi (433/1042),Ebû Muhammed II'nin isyanı; Büveyhî prensi vali olarak atandı (433/1042),Büveyhîler tarafından kıyı Umân valisi olarak atandılar,Chapter 6: Arabian Peninsula,Çok kısa süreli; Büveyhî vasalı; yaklaşık 40 yıl; 4 vali,Arap,Hanedan/Beylik,,Normal,24.36,56.73,42,10,11,Arap Yarımadası,24.0,57.0,25.0,22.0,59.0,55.0,Vasal Devlet,Hâricî İbâdî,Kabile Ordusu,Deniz Ticareti,,Geç Abbâsî
53,Ya'rubîler,al-Ya'rubiyyūn,The Ya'rubids,İbâdî kabile reisleri,Arap,Umân,Umân (iç bölge ve kıyı); Doğu Afrika kıyıları,al-Rustâk (al-Rustāq),1034,c. 1167,1625,c. 1754,,,Portekizliler; Safevîler; Nâbhânîler,Çeşitli yerel beyler,Âl Bû Saîd,Veraset krizi; Hinâvî-Gāfirî iç savaşı; İran müdahalesi; Âl Bû Saîd'in yükselişi,Nâsir b. Mürşid Portekizlileri ve dış tehditleri bertaraf etti; İbâdî İmam olarak seçildi,Chapter 6: Arabian Peninsula,Portekiz'i Umân kıyılarından çıkardılar; Doğu Afrika kıyılarında hakimiyet; 18. yy başında küçük sultan veraset krizi,Arap,Hanedan/Beylik,,Düşük,23.39,57.42,129,17,18,Arap Yarımadası,23.0,57.0,25.5,21.0,59.5,54.0,Teokratik Devlet,Hâricî İbâdî,Kabile Ordusu,Deniz Ticareti,,Erken Modern
54,Âl Bû Saîd,Āl Bū Sa'īd,The Āl Bū Sa'īd,İbâdî aile,Arap,Umân (Maskat) ve Zengibar,Umân; Maskat; Zengibar; Doğu Afrika kıyıları; Bahreyn (geçici); Bender Abbas (geçici),Maskat (Muscat); Zengibar (Sa'îd b. Sultān),c. 1167,,c. 1754,devam ediyor,"1. Birleşik sultanlık (c. 1754-1856); 2. Umân sultanlığı (1856-); 3. Zengibar sultanlığı (1856-1964, bkz. No. 65)",İngiltere (ittifak),Vehhâbîler; İbâdî İmamlar (iç bölge),Ya'rubîler,(devam ediyor — Umân Sultanlığı),,Ahmed b. Saîd Suhâr valisi iken fiili yönetici oldu; İbâdî ulema tarafından İmam seçildi; Sa'îd b. Sultān Zengibar'a yerleşti (1242/1827); 1856'da sultanlık ikiye bölündü,Chapter 6: Arabian Peninsula,Bugün hâlâ hüküm süren hanedan; 1390/1970 Kābûs b. Sa'îd modernleşme; petrol zenginliği; İngiltere ile 1212/1798 ilk anlaşma; köle ticaretinin sona erdirilmesi,Arap,Hanedan/Beylik,,Normal,23.61,58.54,,,,Arap Yarımadası,22.0,57.0,26.5,17.0,60.0,39.0,Merkezi İmparatorluk,Hâricî İbâdî,Karma Profesyonel,Deniz Ticareti,Mimari,Sömürge
55,Âl Suûd (Suudi Hanedanı),Āl Su'ūd,The Āl Su'ūd (Sa'ūd),Aneze (ʿAnaza) kabilesi,Arap (Bedevî),Necd (güneydoğu); sonra tüm Arabistan,Dir'iyye; Riyad; Necd; al-Ahsā; Hicaz; Asîr,Dir'iyye (1. devlet); Riyad (2. ve 3. devlet),1148,,1735,devam ediyor,1. Birinci Suudi devleti (1148-1233/1735-1818); 2. İkinci Suudi devleti (1237-1309/1822-1891); 3. Üçüncü Suudi devleti (1319-/1902-),İbn Abdülvehhâb (Vehhâbî hareket); İngiltere (geç dönem),Osmanlılar; Kavalalı Mehmed Ali; Âl Reşîd; Şerif Hüseyin,,(devam ediyor — Suudi Arabistan Krallığı),,1. devlet: İbrâhîm Paşa tarafından yıkıldı (1233/1818); 2. devlet: Âl Reşîd Riyad'ı aldı (1309/1891); 3. devlet: Abdülazîz İbn Suûd Riyad'ı geri aldı (1319/1902); Hicaz'ı fethetti (1344/1926),Chapter 6: Arabian Peninsula,Vehhâbî hareketiyle yükseliş; 3 ayrı devlet dönemi; Kerbela baskını (1218/1803); petrol keşfi hayatı değiştirdi; yarımadanın 3/4'ünü kontrol; hiç sikke basılmamış iddiası tartışmalı,Arap,Hanlık,,Normal,24.63,46.72,,,,Arap Yarımadası,24.0,45.0,32.0,17.0,56.0,34.0,Merkezi İmparatorluk,Sünnî Hanbelî,Kabile Ordusu,Petrol,Mimari,Sömürge
56,Mekke Hâşimî Şerifleri ('Avn ailesi),al-Ashrāf al-Hāshimiyyūn min Āl 'Awn,The Hāshimite Sharīfs of Mecca from the 'Awn Family,Hâşimî (Hz. Muhammed soyundan),Arap (Şerif),Mekke ve Hicaz; ardından Irak ve Ürdün,Mekke; Hicaz; Irak (Faysal kolu); Suriye (geçici); Ürdün (Abdullah kolu),Mekke; Bağdat (Irak kolu); Amman (Ürdün kolu),1243,,1827,devam ediyor (Ürdün),"1. Hicaz ana kolu (1243-1344/1827-1925); 2a. Suriye kolu (1338/1920, kısa); 2b. Irak kolu (1340-1377/1921-1958); 2c. Ürdün kolu (1339-/1921-)",İngiltere (Birinci Dünya Savaşı ittifakı),Osmanlılar; Âl Suûd,Mekke'deki Zeyd kolu şerifleri,Hicaz'da Suudi fethi (1344/1925); Irak'ta cumhuriyet (1958); Ürdün'de devam,Hicaz: Suudi fethi; Irak: 1958 askeri darbesi,1916 Arap İsyanı; Hüseyin b. Ali Hicaz Kralı; Faysal Suriye Kralı (kısa); ardından Irak Kralı; Abdullah Ürdün Emiri → Kralı,Chapter 6: Arabian Peninsula,Hz. Muhammed'in doğrudan soyu; 10. yy'dan beri Mekke'de şerifler; Hüseyin 1924 hilafet iddiası başarısız; Ürdün'de Kral Hüseyin uzun ömürlü siyasetçi,Arap,Hilafet,,Normal,21.43,39.83,,,,Irak/Cezîre,29.3,47.0,30.0,28.5,48.5,46.5,Şehir Devleti,Sünnî Mâlikî,Kabile Ordusu,Deniz Ticareti,,Modern
57,Âl Reşîd,Āl Rashīd,The Āl Rashīd,Şemmer konfederasyonu ('Abda boyu),Arap (Bedevî),Kuzey Necd (Ha'il),Cebelişemmer; Ha'il; Necd (geçici); Vâdissirhân; Palmira'ya kadar (geçici),Ha'il,1252,1340,1836,1921,,Osmanlı İmparatorluğu,Âl Suûd,Âl İbn 'Alî (Ha'il'deki akrabalar),Suudi fethi (1340/1921),Abdülazîz İbn Suûd Ha'il'i fethetti (1340/1921); aile Riyad'a sürgün,Abdullah b. Ali Suudi desteğiyle Ha'il'de iktidara geldi; Muhammed b. Abdullah Riyad'ı aldı (1309/1891); İbn Suûd'u Kuveyt'e sürdü,Chapter 6: Arabian Peninsula,Kervan ticareti zenginliği; şiddet ve kardeş kavgası tarihi; emirlerin çoğu suikast/savaşta öldü; hiç sikke basmadılar; Osmanlı desteğine rağmen İbn Suûd'a yenildiler,Arap,Hanedan/Beylik,,Normal,27.52,41.69,85,19,20,Arap Yarımadası,27.5,42.0,31.0,25.0,44.0,38.0,Kabile Konfederasyonu,Sünnî Hanbelî,Kabile Ordusu,Tarım,,Sömürge
58,Mali Keita Kralları,Mulūk Mālī min Āl Kayāta,The Keita Kings of Mali,Keita boyu (Malinke/Mandinka),Malinke (Mandinka / Siyah Afrika),Batı Mali; Kuzey Gine; Gambiya; Senegal,Yukarı Nijer; Batı Mali; Kuzey Gine; Gambiya; Senegal; Timbuktu (geçici),"Nyane (Sankarani üzerinde, değişen)",627,c. 9. yy ortası,1230,c. 15. yy ortası,,Merînîler (Fas); Memlûkler (Mısır) — diplomatik ilişkiler,Soso Krallığı; Songay; Tuareglar,Gana Krallığı (Soninke); Soso Krallığı,Songay İmparatorluğu; Bambara devletleri (Segu/Karta),Veraset kavgaları; Timbuktu'nun Tuareglara kaybı; Songay yükselişi; Malinke ana yurdu ile sınırlandı; 1081/1670 Bambara devletlerince gölgelendi,Sun Dyata (Mari Jata I) Soso hakimiyetine karşı Malinke mücadelesini yönetti; Mansa unvanı ile tüm Malinkelerin başı oldu; trans-Sahra altın ve köle ticareti,Chapter 7: West Africa,Gana'nın varisi; Mansa Musa I'in ünlü hac yolculuğu; İbn Battuta ziyareti; Timbuktu İslam öğretim merkezi; animist gelenekler İslam altında devam etti; senkretik İslam,Karışık/Bilinmeyen,Hanedan/Beylik,,Normal,11.4,-8.7,,,,Doğu/Batı Afrika,13.0,-5.0,18.0,8.0,2.0,-12.0,Merkezi İmparatorluk,Sünnî Mâlikî,Kabile Ordusu,Ticaret/Transit,Edebiyat,Timurlu
59,Songay Kralları,Mulūk Sunghāy,The Kings of Songhay,Songay halkı (çeşitli kökenli),Songay / Soninke (Askiya kolunda),Nijer bükümü boyunca savan bölgesi,Gao (Kawkaw); Timbuktu; Cenne (Jenne); Senegal'e kadar batı; Hausaland'a kadar doğu,Gao (Kawkaw),c. 3. yy,1000,c. 9. yy,1592,1. Za'lar veya Zuva'lar (Gao); 2. Si'ler veya Sonni'ler; 3. Askiya'lar,,Mali İmparatorluğu; Fas Sa'dîleri,Mali İmparatorluğu (hakimiyet),Fas paşaları (Timbuktu); bölgesel parçalanma,Fas Sa'dî sultanı Ahmed el-Mansûr'un ordusu Gao'yu fethetti (999/1591); ateşli silahların üstünlüğü,Za Kosoy ilk Müslüman hükümdar (11. yy); Ali Golom Mali hakimiyetinden kurtuldu (c. 1275); Sonni Ali Büyük gerçek imparatorluk kurucusu; Askiya Muhammed Ture tahtı ele geçirdi (898/1493),Chapter 7: West Africa,3 sülale dönemi; Sonni Ali Büyük fiili kurucu; Askiya Muhammed Ture Mekke haccı (901/1496); Timbuktu İslam merkezi; Fas fethi 999/1591; kukla Askiyalar kısa süre devam,Karışık/Bilinmeyen,Hanedan/Beylik,,Normal,16.27,-0.04,,,,Doğu/Batı Afrika,15.0,0.0,20.0,10.0,5.0,-5.0,Merkezi İmparatorluk,Sünnî (karışık),Kabile Ordusu,Ticaret/Transit,UNESCO Miras;Mimari,Haçlı/Moğol
60,Kenem ve Bornu (Borno) Hükümdarları,Salāṭīn Kānim wa-Burnū,The Rulers of Kanem and Bornu or Borno,Zağava (Sayfî/Sefuva hanedanı); Kānembu (Şeyh ailesi),Zağava / Kanuri / Kānembu,"Çad Gölü çevresi (doğuda Kenem, güneybatıda Bornu)",Kenem (Çad); Bornu (Kuzeydoğu Nijerya); Dikwa; Hausaland (geçici); Air (geçici),"(Kenem döneminde değişen); N'gazargamu (Qasr Gomo, Bornu); Maiduguri (modern)",c. 3. yy,,c. 9. yy,devam ediyor (yerel reis),"1. 'Kırmızı' (beyaz) Sayfî/Sefuva Kenem hükümdarları; 2. 'Siyah' Kenem sultanları; 3. Bornu'da yeni Sayfî Mai'ler; 4. Kānembu Şeyhler (Bornu ve Dikwa): (a) Bornu Şeyhları, (b) Dikwa Şeyhları/Mai'leri","Hafsîler (Tunus, diplomatik); Osmanlılar (ateşli silah ithalatı)",Bulala klanı; Hausa devletleri; Tuareglar; Fulani cihatçıları; Rābih b. Fadl Allāh,Zağava kabile beyleri,(Yerel reis olarak devam; İngiliz/Fransız/Alman sömürge yönetimi),Sayfî Mai'ler 1262/1846'da sona erdi (Kānembu tarafından öldürüldü); Kānembu Şeyhler sömürge dönemine uyum sağladı; Rābih işgali (1311-19/1893-1901),Dunama Dibalemi 655/1257'de Hafsîlere zürafa hediyesi; 14. yy sonunda Sayfîler Bulala baskısıyla Kenem'den Bornu'ya geçti; Ali Gazi yeni başkent N'gazargamu kurdu; İdris Alevma (16. yy sonu) Osmanlı tüfekçileri ithal etti,Chapter 7: West Africa,Batı Afrika'nın en uzun ömürlü İslam devletlerinden; 4 ana kol; Sayfî soy iddiası (Güney Arabistan Himyerî); trans-Sahra köle ticareti; İslam'ın bilinçli güçlendirilmesi (Şeriat uygulaması); sömürge bölünmesi (İngiltere/Fransa/Almanya),Karışık/Bilinmeyen,Hanedan/Beylik,,Normal,11.85,13.16,,,,Doğu/Batı Afrika,13.0,14.0,18.0,10.0,20.0,8.0,Merkezi İmparatorluk,Sünnî Mâlikî,Kabile Ordusu,Ticaret/Transit,,Timurlu
61,Hausaland Fulani Hükümdarları (Sokoto Sultanları/Halifeleri),Umarā' al-Fulānī fī Bilād Hawsā / Salāṭīn Sukūtū,"The Fulani Rulers in Hausaland, as Sultans and Caliphs of Sokoto",Fulani (Fulbe) / Tokolor,Fulani (Fulbe),Kuzey Nijerya (Hausaland),"Sokoto; Gwandu; Hausaland (Kano, Katsina, Zaria vb.); Adamawa (Kuzey Kamerun)","Sokoto (Sakwato, 1224/1809 kuruldu); Gwandu (batı)",1218,,1804,devam ediyor (yerel sultan),,,Hausa devletleri; Bornu,Hausa emirlikleri,(İngiliz sömürge yönetimi; dolaylı yönetim ile devam; Nijerya Cumhuriyeti içinde),İngiliz kuvvetleri Sokoto'yu direniş görmeden aldı (1322/1904); dolaylı yönetim (indirect rule) ile sultan hattı sürdürüldü,Osman dan Fodio 1218/1804'te hicret ve cihat ilan etti; Fulani takipçilerle Hausa devletlerini birer birer fethetti; oğlu Muhammed Bello Sokoto'yu kurdu; Emîrü'l-Mü'minîn unvanı,Chapter 7: West Africa,"Cihat hareketi; Sūfî tarikatlar (Kādiriye, Ticâniye) etkisi; köle ekonomisi; Osman dan Fodio'nun türbesi hac yeri; Adamawa'ya kadar Fulani emirlikleri; İngiliz dolaylı yönetimi; Nijerya Kuzeybatı Eyaleti",Karışık/Bilinmeyen,Sultanlık|Emirlik,,Normal,13.06,5.24,,,,Doğu/Batı Afrika,12.0,5.0,14.0,9.0,10.0,2.0,Teokratik Devlet,Sünnî Mâlikî,Kabile Ordusu,Tarım,Mimari,Sömürge
62,Kilva Sultanları,Salāṭīn Kilwa,The Sultans of Kilwa,1. Şîrâzî hanedanı; 2. Mehdâlî Seyyidler,Arap/Şîrâzî (iddia) / Svahili,Kilva adası (Tanzanya kıyısı),Kilva (Kilwa Kisawani); Doğu Afrika kıyı ticareti,Kilva (Quiloa),c. 346,c. 957,c. 10. yy,c. 1550,1. Şîrâzî hanedanı; 2. Mehdâlî Seyyidler,,Portekizliler,,Portekiz vasalları; ardından Umânlı kontrol; Bû Saîdîler (Zengibar),Portekiz deniz hakimiyeti; Kilva ticaretinin çöküşü; son sultan Bû Saîdîler tarafından devrildi (1843),Şîrâzî köken iddiası (İran Şiraz'dan) şüpheli; 12. yy'da tarih sahnesine net çıkış; 13. yy sonunda Mehdâlî Seyyidler iktidara geçti,Chapter 8: East Africa and the Horn of Africa,Doğu Afrika kıyı ticaretinin merkezi; sikke bastılar (özellikle Mehdâlîler); Kilva Kronikleri ana kaynak; tarihler yaklaşık; arkeolojik kazılar sikke buluntuları sağladı,Arap,Sultanlık,,Normal,-8.96,39.52,,,,Doğu/Batı Afrika,-8.5,39.5,-7.0,-10.5,40.5,38.5,Şehir Devleti,Sünnî Şâfiî,Karma Profesyonel,Deniz Ticareti,UNESCO Miras,Haçlı/Moğol
63,Pate Nâbhânî Hükümdarları,Āl al-Nabhānī fī Bātā,The Nabhānī Rulers of Pate,Nâbhânî kabile grubu (Umân kökenli),Arap (Umânlı) / Svahili,"Pate adası (Kenya kıyısı, Lamu takımadası)",Pate; Vitu (kara tarafı); Lamu takımadası,Pate,600,1312,1203,1894,,Umân Ya'rubîleri/Bû Saîdîleri (tâbiiyet),Portekizliler; Mezrûîler (Mombasa),,İngiliz sömürge yönetimi (1312/1894),İngiliz kontrolü altına girdi (1312/1894); son hükümdar İngiliz himayesinde,Umân'dan göç (Nâbhânî kabile grubu); 1109/1698 sonrası Umânlılar Mombasa'yı Portekizlilerden aldığında Zengibar'a gümrük ödediler,Chapter 8: East Africa and the Horn of Africa,700 yıl hüküm; olağanüstü uzun hükümdar listesi (Svahili sözlü tarih kaynağı); tarihler yaklaşık; Mwana Khadija kadın hükümdar (1177/1763),Arap,Hanedan/Beylik,,Normal,-2.08,41.05,691,13,19,Doğu/Batı Afrika,-2.0,41.0,-1.0,-3.0,42.0,40.0,Şehir Devleti,Sünnî Şâfiî,Deniz Gücü,Deniz Ticareti,,Erken Modern
64,Mombasa Mezrûî Valileri,al-Mazrū'iyyūn fī Manbasa,The Mazrū'ī Liwalis or Governors of Mombasa,Mezrûî ailesi (Umân kökenli),Arap (Umânlı),Mombasa ve Pemba adası (Doğu Afrika kıyısı),Mombasa; Pemba adası,Mombasa,c. 1109,1253,c. 1698,1837,,,Bû Saîdîler (Zengibar); Portekizliler (önce),Portekiz yönetimi,Bû Saîdî doğrudan kontrolü (Sa'îd b. Sultān),Bû Saîdî hükümdarı Sa'îd b. Sultān Mombasa kolunu bastırdı (1253/1837),17. yy sonunda Umân'dan göç etti; Portekizlilerin çıkarılmasından sonra Mombasa valisi olarak atandılar,Chapter 8: East Africa and the Horn of Africa,Yaklaşık 140 yıl kesintisiz valilik; liwali (< ar. al-wālī) unvanı; Pemba'da ve başka yerlerde kollar; Svahili Wamazrui; aile bugün hâlâ nüfuzlu,Arap,Hanedan/Beylik,,Normal,-4.05,39.67,139,17,19,Doğu/Batı Afrika,-4.0,39.7,-3.5,-4.5,40.0,39.3,Vasal Devlet,Hâricî İbâdî,Karma Profesyonel,Deniz Ticareti,,Erken Modern
65,Doğu Afrika Âl Bû Saîdîleri (Zengibar),Āl Bū Sa'īd fī Sharq Ifrīqiyā,The Āl Bū Sa'īd in East Africa,Âl Bû Saîd ailesi (Umân),Arap (Umânlı),Zengibar ve Doğu Afrika kıyısı,Zengibar; Pemba; Kilva; Mogadişu'dan Cape Delgado'ya kadar,Zengibar,1256,1383,1840,1964,,İngiltere (himaye),Mezrûîler (daha önce),Mezrûîler (Mombasa); Ya'rubîler (genel Doğu Afrika),Zengibar Cumhuriyeti → Tanzanya Birleşik Cumhuriyeti (1964),1964 darbesi; Sultan Cemşîd devrildi; Zengibar cumhuriyete dönüştü; Tanganyika ile birleşerek Tanzanya oldu,Sa'îd b. Sultān 1256/1840'ta kalıcı olarak Zengibar'a yerleşti (1242/1827'den beri aralıklı); karanfil ekimi; 1273/1856'da Umân ve Zengibar ayrıldı; 1307/1890 İngiliz himayesi,Chapter 8: East Africa and the Horn of Africa,Karanfil ticareti zenginliği; Batılı konsolosluklar; 1307/1890 İngiliz himayesi; Alman Doğu Afrikası kıyısında; köle ticareti; Aralık 1963 kısa bağımsızlık; Ocak 1964 darbe,Arap,Hanedan/Beylik,,Normal,-6.16,39.19,124,19,20,Doğu/Batı Afrika,-6.0,39.5,-2.0,-8.0,40.5,38.5,Koloni/Protektora,Hâricî İbâdî,Deniz Gücü,Deniz Ticareti,UNESCO Miras;Mimari,Sömürge
66,Harar Sultanları,Salāṭīn Harar,The Sultans of Harar,1. Ahmed Gran kolu (Valaşma'); 2. Ali b. Dâvûd kolu,Somali / Arap / Etiyopyalı Müslüman,Harar (Güneydoğu Etiyopya),Harar; Ausa (1. kol geç dönem),Harar; Ausa (bazı 1. kol sultanları),912,1304,1506,1887,"1. Ahmed Gran kolu (Harar ve Ausa); 2. Ali b. Dâvûd kolu (Harar, Ausa'dan bağımsız)",,Hristiyan Etiyopya İmparatorluğu; Portekizliler; Mısır (Hidiv),Valaşma' İfat Sultanlığı,Etiyopya İmparatoru Menelik'in fethi (1304/1887),Türk-Mısır işgali (1292/1875); ardından İmparator Menelik Harar'ı fethetti ve Etiyopya'ya kattı (1304/1887),Valaşma' sultanlığı İfat'tan 16. yy başında Harar'a taşındı; Ahmed Gran Müslüman davasını Etiyopya'da savundu; 950/1543'te Hristiyan-Portekiz güçlerine karşı savaşta öldü,Chapter 8: East Africa and the Horn of Africa,Harar İslam'ın Afrika Boynuzu'ndaki merkezi; Galla ve Somali arasında İslam yayılışı; sikke bastılar; 2 soy kolu; 1292/1875 Mısır işgali; 1304/1887 Menelik fethi,Arap,Sultanlık,,Normal,9.31,42.12,381,16,19,Doğu/Batı Afrika,9.3,42.0,10.5,8.0,44.0,40.0,Şehir Devleti,Sünnî Şâfiî,Kabile Ordusu,Ticaret/Transit,UNESCO Miras;Mimari,Erken Modern
